run_id,window_index,t_start,mean_o22,stall_s,label
MC_s1_bola_TearsOfSteel,0,0.0,4.2369,0.399,Degraded
MC_s1_bola_TearsOfSteel,1,10.0,4.5889,0,Excellent
MC_s1_bola_TearsOfSteel,2,20.0,4.5889,0,Excellent
MC_s1_bola_TearsOfSteel,3,30.0,4.5889,0,Excellent
MC_s1_bola_TearsOfSteel,4,40.0,4.5889,0,Excellent
MC_s1_bola_TearsOfSteel,5,50.0,4.5889,0,Excellent
MC_s1_bola_TearsOfSteel,6,60.0,4.5889,0,Excellent
MC_s1_bola_TearsOfSteel,7,70.0,4.5889,0,Excellent
MC_s1_bola_TearsOfSteel,8,80.0,4.5889,0,Excellent
MC_s1_bola_TearsOfSteel,9,90.0,4.5889,0,Excellent
MC_s1_bola_TearsOfSteel,10,100.0,3.7071,33.393,Critical
MC_s1_bola_TearsOfSteel,11,110.0,3.7045,0,Good
MC_s1_bola_TearsOfSteel,12,120.0,3.429,0.656,Degraded
MC_s1_bola_TearsOfSteel,13,130.0,2.8987,0,Degraded
MC_s1_bola_TearsOfSteel,14,140.0,3.3005,0,Good
MC_s1_bola_TearsOfSteel,15,150.0,3.2201,0,Good
MC_s1_bola_TearsOfSteel,16,160.0,3.0594,0,Good
MC_s1_bola_TearsOfSteel,17,170.0,2.5773,0,Degraded
MC_s1_bola_TearsOfSteel,18,180.0,2.4969,0,Degraded
MC_s1_bola_TearsOfSteel,19,190.0,2.4969,0,Degraded
MC_s1_bola_TearsOfSteel,20,200.0,2.4969,0,Degraded
MC_s1_bola_TearsOfSteel,21,210.0,2.4969,0,Degraded
MC_s1_bola_TearsOfSteel,22,220.0,3.0594,0,Good
MC_s1_bola_TearsOfSteel,23,230.0,3.3005,0,Good
MC_s1_bola_TearsOfSteel,24,240.0,3.0594,0,Good
MC_s1_bola_TearsOfSteel,25,250.0,2.4969,0,Degraded
MC_s1_bola_TearsOfSteel,26,260.0,2.4969,0,Degraded
