run_id,window_index,t_start,mean_o22,stall_s,label
MC_s6_bola_TearsOfSteel,0,0.0,2.8644,1.168,Critical
MC_s6_bola_TearsOfSteel,1,10.0,2.4969,3.14,Critical
MC_s6_bola_TearsOfSteel,2,20.0,2.4969,0,Degraded
MC_s6_bola_TearsOfSteel,3,30.0,2.4969,0,Degraded
MC_s6_bola_TearsOfSteel,4,40.0,2.4969,0,Degraded
MC_s6_bola_TearsOfSteel,5,50.0,2.4969,2.055,Critical
MC_s6_bola_TearsOfSteel,6,60.0,2.4969,0,Degraded
MC_s6_bola_TearsOfSteel,7,70.0,2.9791,0,Degraded
MC_s6_bola_TearsOfSteel,8,80.0,2.4969,1.292,Critical
MC_s6_bola_TearsOfSteel,9,90.0,2.4969,0,Degraded
MC_s6_bola_TearsOfSteel,10,100.0,2.4969,0,Degraded
MC_s6_bola_TearsOfSteel,11,110.0,2.4969,0,Degraded
MC_s6_bola_TearsOfSteel,12,120.0,2.4969,1.417,Critical
MC_s6_bola_TearsOfSteel,13,130.0,2.4969,3.471,Critical
MC_s6_bola_TearsOfSteel,14,140.0,2.4969,8.686,Critical
MC_s6_bola_TearsOfSteel,15,150.0,2.4969,14.174,Critical
MC_s6_bola_TearsOfSteel,16,160.0,2.4969,6.793,Critical
MC_s6_bola_TearsOfSteel,17,170.0,2.4969,25.832,Critical
MC_s6_bola_TearsOfSteel,18,180.0,2.4969,4.511,Critical
MC_s6_bola_TearsOfSteel,19,190.0,2.4969,1.384,Critical
MC_s6_bola_TearsOfSteel,20,200.0,2.4969,5.028,Critical
MC_s6_bola_TearsOfSteel,21,210.0,2.4969,0,Degraded
MC_s6_bola_TearsOfSteel,22,220.0,2.4969,0,Degraded
